model,scene,test_r2,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
LSTM,Hallway,0.23620325326919556,0.19084066152572632,0.2633562684059143,0.24370545148849487,0.24430060386657715,0.17664039134979248,0.2304355502128601,0.19478446245193481,0.19746261835098267,0.20451217889785767,0.2574479579925537
LSTM,Hall,0.1762927770614624,0.13351845741271973,0.17045462131500244,0.13543164730072021,0.16601651906967163,0.12458062171936035,0.16820251941680908,0.17665982246398926,0.1699289083480835,0.180877685546875,0.145757257938385
LSTM,Elevator,0.05536597967147827,0.040975332260131836,0.044906795024871826,0.04466652870178223,0.03696316480636597,0.0359877347946167,0.038659512996673584,0.03970462083816528,0.03554469347000122,0.02920997142791748,0.03447240591049194
LSTM,Outside,-0.007958292961120605,-0.021042823791503906,-0.031851768493652344,-0.03285694122314453,-0.029932498931884766,-0.012075304985046387,-0.02892017364501953,-0.027452707290649414,-0.032860517501831055,-0.01154792308807373,-0.04999566078186035
GRU,Hallway,0.2684393525123596,0.26039111614227295,0.23559963703155518,0.24265313148498535,0.23476189374923706,0.26848912239074707,0.293221652507782,0.263316810131073,0.28452926874160767,0.24620097875595093,0.21830898523330688
GRU,Hall,0.1866590976715088,0.15864449739456177,0.17684757709503174,0.1657111644744873,0.18998926877975464,0.15740644931793213,0.14762282371520996,0.18361437320709229,0.16565024852752686,0.16699457168579102,0.16742348670959473
GRU,Elevator,0.07091528177261353,0.05690103769302368,0.05804628133773804,0.05847501754760742,0.04719811677932739,0.04084271192550659,0.07059156894683838,0.03413498401641846,0.0483132004737854,0.056928038597106934,0.06383568048477173
GRU,Outside,-0.02207469940185547,-0.0392916202545166,-0.04583609104156494,-0.01882469654083252,-0.057141900062561035,-0.03225886821746826,-0.05393087863922119,-0.03562772274017334,-0.04035782814025879,-0.056722164154052734,-0.0195772647857666
GRU_Attn,Hallway,0.3578711152076721,0.3077998757362366,0.371362566947937,0.31575751304626465,0.3546978235244751,0.36906975507736206,0.28905314207077026,0.4082678556442261,0.3572351932525635,0.3722163438796997,0.27546173334121704
GRU_Attn,Hall,0.15601569414138794,0.12315398454666138,0.11536282300949097,0.16094070672988892,0.17286604642868042,0.1288573145866394,0.15951043367385864,0.1265358328819275,0.15393054485321045,0.11787235736846924,0.1247512698173523
GRU_Attn,Elevator,0.11894422769546509,0.09877967834472656,0.11217689514160156,0.10618680715560913,0.10497277975082397,0.11225670576095581,0.0822858214378357,0.11564803123474121,0.11292904615402222,0.11110997200012207,0.09307193756103516
GRU_Attn,Outside,-0.014159679412841797,-0.021580934524536133,-0.021680116653442383,-0.012853860855102539,-0.03955090045928955,-0.026561498641967773,-0.015491604804992676,-0.05929088592529297,-0.03521442413330078,-0.05323314666748047,-0.013240218162536621
